||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	7.89E-005	3.27E-003
9.89E-006	2.44E-006	2.05E-004
6.21E-007	7.64E-008	1.29E-005
3.88E-008	2.39E-009	8.04E-007
2.43E-009	7.46E-011	5.03E-008
1.52E-010	2.33E-012	3.14E-009
9.48E-012	7.29E-014	1.96E-010
5.93E-013	8.59E-015	1.22E-011
3.67E-014	2.21E-014	7.55E-013
3.51E-015	3.65E-014	1.11E-012
3.78E-015	5.84E-014	2.23E-012
6.66E-015	1.14E-013	4.52E-012
1.24E-014	2.51E-013	9.03E-012
2.25E-014	4.70E-013	1.82E-011
4.05E-014	9.36E-013	3.62E-011
9.63E-014	1.98E-012	7.28E-011
1.68E-013	3.83E-012	1.45E-010
3.51E-013	7.73E-012	2.89E-010
0	0	0
0	0	0
0	0	0
0	0	0
