||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
2.30E-003	2.67E-002	3.86E-001
3.38E-004	6.76E-003	1.97E-001
4.23E-005	1.65E-003	9.87E-002
5.03E-006	4.06E-004	4.92E-002
5.85E-007	1.00E-004	2.46E-002
6.69E-008	2.49E-005	1.23E-002
7.57E-009	6.19E-006	6.13E-003
8.61E-010	1.55E-006	3.06E-003
1.01E-010	3.86E-007	1.53E-003
1.47E-011	9.65E-008	7.66E-004
1.04E-011	2.41E-008	3.83E-004
1.84E-011	6.04E-009	1.91E-004
1.49E-009	1.20E-008	9.59E-005
5.01E-009	4.24E-008	5.36E-005
1.57E-008	1.34E-007	7.98E-005
7.43E-008	5.89E-007	3.33E-004
5.52E-008	3.85E-007	2.12E-004
1.28E-006	1.05E-005	5.94E-003
9.93E-007	8.00E-006	4.50E-003
2.26E-005	1.83E-004	1.04E-001
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
