||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	5.71E-005	2.38E-003
9.88E-006	1.87E-006	1.57E-004
6.21E-007	5.88E-008	9.90E-006
3.88E-008	1.84E-009	6.20E-007
2.43E-009	5.76E-011	3.88E-008
1.52E-010	1.80E-012	2.42E-009
9.48E-012	5.62E-014	1.51E-010
5.93E-013	5.65E-015	9.40E-012
3.70E-014	1.82E-014	6.39E-013
2.49E-015	2.41E-014	9.04E-013
3.12E-015	4.83E-014	1.83E-012
2.84E-015	8.48E-014	3.61E-012
4.63E-015	2.10E-013	7.27E-012
4.48E-015	4.16E-013	1.45E-011
3.76E-014	8.15E-013	2.91E-011
3.91E-014	1.56E-012	5.75E-011
9.71E-014	3.22E-012	1.15E-010
1.90E-013	6.39E-012	2.32E-010
0	0	0
0	0	0
0	0	0
0	0	0
