||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.47E-003	2.64E-002	3.76E-001
2.61E-004	6.37E-003	1.94E-001
3.16E-005	1.59E-003	9.78E-002
3.85E-006	3.96E-004	4.90E-002
4.78E-007	9.89E-005	2.45E-002
5.96E-008	2.47E-005	1.22E-002
7.45E-009	6.18E-006	6.12E-003
9.31E-010	1.54E-006	3.06E-003
1.16E-010	3.86E-007	1.53E-003
1.46E-011	9.65E-008	7.66E-004
2.73E-011	2.41E-008	3.83E-004
1.20E-010	6.05E-009	1.91E-004
5.58E-010	2.38E-009	9.57E-005
2.41E-009	7.95E-009	4.79E-005
1.03E-008	3.42E-008	2.40E-005
3.89E-008	1.30E-007	1.28E-005
1.63E-007	5.41E-007	1.87E-005
1.63E-007	5.88E-007	8.17E-005
2.50E-006	8.27E-006	2.85E-004
1.01E-005	3.34E-005	1.14E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
