||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.15E-005	1.32E-003
9.88E-006	1.07E-006	8.99E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.03E-012	1.39E-009
9.48E-012	3.26E-014	8.71E-011
5.93E-013	7.34E-015	5.45E-012
3.72E-014	1.13E-014	5.13E-013
2.58E-015	2.84E-014	7.16E-013
2.82E-015	3.89E-014	1.48E-012
2.50E-015	8.90E-014	2.92E-012
4.67E-015	1.54E-013	5.89E-012
4.48E-015	3.39E-013	1.17E-011
1.28E-014	6.70E-013	2.35E-011
2.04E-014	1.35E-012	4.70E-011
3.05E-014	2.68E-012	9.43E-011
6.02E-014	5.30E-012	1.88E-010
0	0	0
0	0	0
0	0	0
0	0	0
