||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.15E-006	1.32E-004
9.88E-006	1.07E-007	8.99E-006
6.21E-007	3.38E-009	5.69E-007
3.88E-008	1.06E-010	3.57E-008
2.43E-009	3.31E-012	2.23E-009
1.52E-010	1.03E-013	1.39E-010
9.48E-012	3.24E-015	8.71E-012
5.93E-013	7.55E-016	5.45E-013
3.70E-014	1.08E-015	5.05E-014
2.66E-015	1.81E-015	7.15E-014
4.45E-015	4.57E-015	1.45E-013
2.54E-015	7.45E-015	2.89E-013
3.64E-015	1.76E-014	5.82E-013
3.94E-015	3.31E-014	1.17E-012
8.23E-015	6.78E-014	2.33E-012
1.88E-014	1.30E-013	4.68E-012
3.23E-014	2.55E-013	9.29E-012
5.68E-014	5.29E-013	1.86E-011
0	0	0
0	0	0
0	0	0
0	0	0
