||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.44E-002	3.77E-001
2.02E-004	6.27E-003	1.94E-001
2.55E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.22E-011	9.65E-008	7.66E-004
4.89E-012	2.41E-008	3.83E-004
2.30E-011	6.03E-009	1.91E-004
9.02E-011	1.53E-009	9.57E-005
3.78E-010	1.25E-009	4.79E-005
1.21E-008	3.87E-008	2.40E-005
7.68E-009	2.42E-008	1.42E-005
3.04E-008	9.58E-008	3.10E-005
1.11E-007	3.56E-007	1.21E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
