||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.44E-002	3.77E-001
2.02E-004	6.27E-003	1.94E-001
2.55E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.22E-011	9.65E-008	7.66E-004
1.58E-012	2.41E-008	3.83E-004
1.62E-012	6.03E-009	1.91E-004
2.00E-012	1.51E-009	9.57E-005
1.36E-011	3.82E-010	4.79E-005
1.89E-010	6.32E-010	2.39E-005
8.35E-010	2.64E-009	1.23E-005
2.38E-009	8.17E-009	1.30E-005
5.77E-009	5.84E-008	4.63E-005
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
