||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.87E-003	2.43E-002	3.77E-001
2.41E-004	6.26E-003	1.94E-001
3.04E-005	1.58E-003	9.78E-002
3.81E-006	3.95E-004	4.90E-002
4.77E-007	9.88E-005	2.45E-002
5.96E-008	2.47E-005	1.22E-002
7.45E-009	6.18E-006	6.12E-003
9.31E-010	1.54E-006	3.06E-003
1.17E-010	3.86E-007	1.53E-003
5.37E-011	9.65E-008	7.66E-004
2.09E-010	2.41E-008	3.83E-004
8.23E-010	6.57E-009	1.91E-004
3.32E-009	1.06E-008	9.57E-005
1.32E-008	4.15E-008	4.90E-005
5.26E-008	1.66E-007	5.69E-005
2.11E-007	6.67E-007	3.02E-004
8.49E-007	2.68E-006	2.24E-003
3.38E-006	1.07E-005	1.23E-002
