||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.20E-05	3.03E-06	1.60E-04
3.70E-07	4.47E-08	4.73E-06
1.16E-08	6.95E-10	1.47E-07
3.62E-10	1.08E-11	4.60E-09
1.13E-11	1.69E-13	1.44E-10
3.54E-13	6.14E-15	4.49E-12
3.23E-14	1.06E-14	1.89E-13
6.02E-14	1.99E-14	2.38E-13
1.12E-13	4.26E-14	4.96E-13
2.34E-13	8.36E-14	9.79E-13
4.73E-13	1.66E-13	1.97E-12
9.39E-13	3.26E-13	3.90E-12
1.87E-12	6.56E-13	7.76E-12
3.70E-12	1.31E-12	1.57E-11
7.40E-12	2.62E-12	3.13E-11
1.48E-11	5.23E-12	6.23E-11
2.97E-11	1.05E-11	1.25E-10
5.93E-11	2.10E-11	2.50E-10
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
