||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
3.65E-002	2.31E-001	1.60E+000
9.13E-003	1.16E-001	1.60E+000
2.28E-003	5.78E-002	1.60E+000
5.71E-004	2.89E-002	1.60E+000
1.43E-004	1.45E-002	1.60E+000
3.57E-005	7.23E-003	1.60E+000
8.93E-006	3.61E-003	1.60E+000
2.23E-006	1.81E-003	1.60E+000
5.58E-007	9.03E-004	1.60E+000
1.39E-007	4.52E-004	1.60E+000
3.49E-008	2.26E-004	1.60E+000
8.72E-009	1.13E-004	1.60E+000
2.18E-009	5.65E-005	1.60E+000
5.45E-010	2.82E-005	1.60E+000
1.36E-010	1.41E-005	1.60E+000
3.41E-011	7.06E-006	1.60E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
