node number	P1/P0	P2/P1	P3/P2	P4/P3	P5/P4
3	4.11E-001	9.68E-002	1.36E-002	1.31E-003	1.60E-004
5	2.14E-001	2.49E-002	1.70E-003	8.97E-005	4.73E-006
9	1.08E-001	6.28E-003	2.13E-004	5.69E-006	1.47E-007
17	5.41E-002	1.57E-003	2.67E-005	3.57E-007	4.60E-009
33	2.71E-002	3.93E-004	3.33E-006	2.23E-008	1.44E-010
65	1.35E-002	9.83E-005	4.17E-007	1.39E-009	4.49E-012
129	6.77E-003	2.46E-005	5.21E-008	8.71E-011	1.85E-013
257	3.39E-003	6.14E-006	6.51E-009	5.45E-012	2.44E-013
513	1.69E-003	1.54E-006	8.14E-010	5.59E-013	4.90E-013
1025	8.46E-004	3.84E-007	1.02E-010	9.02E-013	9.67E-013
2049	4.23E-004	9.60E-008	1.29E-011	1.80E-012	1.95E-012
4097	2.12E-004	2.40E-008	2.80E-012	3.58E-012	3.88E-012
8193	1.06E-004	6.00E-009	4.22E-012	7.15E-012	7.80E-012
16385	5.29E-005	1.50E-009	8.41E-012	1.44E-011	1.56E-011
32769	2.65E-005	3.75E-010	1.67E-011	2.88E-11	3.13E-11
65537	1.32E-005	9.44E-011	3.33E-011	5.73E-11	6.27E-11
131073	6.61E-006	3.26E-011	6.68E-011	1.15E-10	1.25E-10
262145	3.31E-006	4.37E-11	1.33E-10	2.29E-10	2.51E-10
524289	1.65E-006	9.86E-11	2.67E-10	4.58E-10	5.01E-10
1048577	8.27E-007	1.95E-10	5.33E-10	9.20E-10	1.00E-09
2097153	4.13E-07	3.71E-10	0	0	0
4194305	2.07E-07	7.41E-10	0	0	0
8388609	1.03E-07	0	0	0	0
16777217	5.17E-08	0	0	0	0
33554433	2.58E-08	0	0	0	0
67108865	1.30E-08	0	0	0	0
