node number	P1/P0	P2/P1	P3/P2	P4/P3	P5/P4
3	5.82E-002	5.70E-003	4.73E-004	3.12E-005	3.03E-006
5	1.52E-002	7.32E-004	2.92E-005	1.07E-006	4.47E-008
9	3.84E-003	9.19E-005	1.83E-006	3.38E-008	6.95E-010
17	9.62E-004	1.15E-005	1.14E-007	1.06E-009	1.08E-011
33	2.41E-004	1.44E-006	7.14E-009	3.31E-011	1.70E-013
65	6.01E-005	1.80E-007	4.46E-010	1.04E-012	3.06E-014
129	1.50E-005	2.25E-008	2.79E-011	5.08E-014	6.03E-014
257	3.76E-006	2.81E-009	1.74E-012	7.84E-014	1.20E-013
513	9.40E-007	3.51E-010	1.28E-013	1.59E-013	2.38E-013
1025	2.35E-007	4.39E-011	1.41E-013	3.14E-013	4.76E-013
2049	5.87E-008	5.49E-012	2.83E-013	6.35E-013	9.39E-013
4097	1.47E-008	6.86E-013	5.54E-013	1.26E-012	1.90E-012
8193	3.67E-009	8.62E-014	1.12E-012	2.53E-012	3.81E-012
16385	9.18E-010	1.30E-014	2.26E-012	5.05E-012	7.61E-012
32769	2.29E-010	1.92E-014	4.46E-012	1.01E-11	1.53E-11
65537	5.74E-011	1.58E-014	8.93E-012	2.02E-11	3.05E-11
131073	1.43E-011	3.81E-014	1.80E-011	4.06E-11	6.10E-11
262145	3.59E-012	1.51E-13	3.57E-11	8.11E-11	1.22E-10
524289	8.88E-013	1.45E-13	7.161E-11	1.62E-10	2.44E-10
1048577	2.21E-013	2.06E-13	1.431E-10	3.24E-10	4.88E-10
2097153	4.00E-14	4.27E-13	0	0	0
4194305	1.15E-13	8.53E-13	0	0	0
8388609	5.26E-14	0	0	0	0
16777217	2.02E-13	0	0	0	0
33554433	1.65E-13	0	0	0	0
67108865	6.27E-13	0	0	0	0
