node number	P1/P0	P2/P1	P3/P2	P4/P3	P5/P4
3	7.50E-002	1.88E-002	1.44E-003	1.54E-004	1.20E-005
5	3.93E-002	4.72E-003	1.86E-004	9.89E-006	3.70E-007
9	1.99E-002	1.18E-003	2.35E-005	6.21E-007	1.16E-008
17	9.95E-003	2.95E-004	2.94E-006	3.88E-008	3.62E-010
33	4.98E-003	7.38E-005	3.67E-007	2.43E-009	1.13E-011
65	2.49E-003	1.84E-005	4.59E-008	1.52E-010	3.53E-013
129	1.24E-003	4.61E-006	5.74E-009	9.48E-012	1.11E-014
257	6.22E-004	1.15E-006	7.18E-010	5.93E-013	1.62E-015
513	3.11E-004	2.88E-007	8.97E-011	3.70E-014	8.55E-016
1025	1.56E-004	7.21E-008	1.12E-011	2.59E-015	2.32E-015
2049	7.78E-005	1.80E-008	1.40E-012	1.28E-015	2.44E-015
4097	3.89E-005	4.50E-009	1.75E-013	2.26E-015	3.90E-015
8193	1.94E-005	1.13E-009	2.26E-014	2.89E-015	9.60E-015
16385	9.72E-006	2.81E-010	6.80E-015	4.99E-015	1.16E-014
32769	4.86E-006	7.04E-011	1.67E-014	1.09E-14	2.84E-14
65537	2.43E-006	1.76E-011	2.13E-014	1.45E-14	5.39E-14
131073	1.22E-006	4.40E-012	7.53E-014	2.08E-14	9.20E-14
262145	6.08E-007	1.10E-12	1.46E-13	8.15E-14	2.00E-13
524289	3.04E-007	2.76E-13	2.672E-13	1.18E-13	3.75E-13
1048577	1.52E-007	7.74E-14	6.113E-13	2.36E-13	7.57E-13
2097153	7.60E-08	8.77E-14	0	0	0
4194305	3.80E-08	1.06E-13	0	0	0
8388609	1.90E-08	0	0	0	0
16777217	9.49E-09	0	0	0	0
33554433	4.75E-09	0	0	0	0
67108865	2.37E-09	0	0	0	0
