node number	P1	P2	P3	P4	P5
3	0.00E+000	3.77E-001	8.45E-002	1.17E-002	1.13E-003
5	0.00E+000	1.94E-001	2.16E-002	1.45E-003	7.72E-005
9	0.00E+000	9.78E-002	5.44E-003	1.81E-004	4.89E-006
17	0.00E+000	4.90E-002	1.36E-003	2.26E-005	3.06E-007
33	0.00E+000	2.45E-002	3.40E-004	2.83E-006	1.92E-008
65	0.00E+000	1.22E-002	8.51E-005	3.54E-007	1.19E-009
129	0.00E+000	6.12E-003	2.13E-005	4.42E-008	3.78E-010
257	0.00E+000	3.06E-003	5.32E-006	5.58E-009	1.73E-009
513	0.00E+000	1.53E-003	1.33E-006	3.10E-009	6.91E-009
1025	0.00E+000	7.66E-004	3.33E-007	1.21E-008	2.37E-008
2049	0.00E+000	3.83E-004	8.67E-008	4.81E-008	1.12E-007
4097	0.00E+000	1.91E-004	6.16E-008	1.92E-007	3.84E-007
8193	0.00E+000	9.57E-005	2.16E-007	7.69E-007	1.53E-006
16385	0.00E+000	4.79E-005	8.56E-007	2.77E-006	7.15E-006
32769	0.00E+000	2.40E-005	3.43E-006	1.23E-005	2.45E-005
65537	0.00E+000	1.36E-005	1.37E-005	4.92E-005	9.81E-005
131073	0.00E+000	2.62E-005	5.51E-005	1.78E-004	3.91E-004
262145	0.00E+000	1.02E-004	2.20E-004	7.89E-004	1.57E-003
524289	0.00E+000	4.09E-004	8.80E-004	3.16E-003	6.27E-003
1048577	0.00E+000	1.64E-003	3.52E-003	1.14E-002	2.51E-002
2097153	0.00E+000	6.55E-003	1.41E-002	5.08E-002	9.99E-002
4194305	0.00E+000	2.62E-002	6.09E-002	2.06E-001	3.97E-001
