node number	P1	P2	P3	P4	P5
3	2.31E-001	2.43E-002	3.28E-003	3.10E-004	2.20E-005
5	1.16E-001	6.26E-003	4.18E-004	1.91E-005	7.52E-007
9	5.78E-002	1.58E-003	5.25E-005	1.19E-006	2.38E-008
17	2.89E-002	3.95E-004	6.56E-006	7.46E-008	7.45E-010
33	1.45E-002	9.88E-005	8.20E-007	4.66E-009	2.34E-011
65	7.23E-003	2.47E-005	1.03E-007	2.91E-010	7.16E-012
129	3.61E-003	6.18E-006	1.28E-008	3.40E-011	2.87E-011
257	1.81E-003	1.54E-006	1.60E-009	1.15E-010	1.36E-010
513	9.03E-004	3.86E-007	2.04E-010	4.59E-010	5.53E-010
1025	4.52E-004	9.65E-008	5.25E-010	1.83E-009	1.84E-009
2049	2.26E-004	2.42E-008	2.10E-009	7.32E-009	8.58E-009
4097	1.13E-004	7.24E-009	8.40E-009	2.93E-008	2.94E-008
8193	5.65E-005	9.49E-009	3.36E-008	1.17E-007	1.17E-007
16385	2.82E-005	6.43E-008	1.34E-007	2.36E-007	5.49E-007
32769	1.41E-005	2.56E-007	5.38E-007	1.87E-006	1.88E-006
65537	7.06E-006	1.02E-006	2.15E-006	7.49E-006	7.51E-006
131073	3.53E-006	4.10E-006	8.61E-006	1.51E-005	3.00E-005
262145	1.76E-006	1.64E-005	3.43E-005	1.20E-004	1.20E-004
524289	1.15E-006	6.65E-005	1.37E-004	4.80E-004	4.79E-004
1048577	1.75E-006	2.65E-004	5.49E-004	9.57E-004	1.92E-003
2097153	2.75E-006	1.06E-003	2.20E-003	7.70E-003	7.66E-003
4194305	3.95E-006	4.22E-003	2.54E-003	3.10E-002	3.04E-002
