node number	P1	P2	P3	P4	P5
3	3.65E-002	1.88E-003	1.38E-004	1.25E-005	7.19E-007
5	9.13E-003	2.41E-004	8.83E-006	3.84E-007	1.23E-008
9	2.28E-003	3.04E-005	5.54E-007	1.20E-008	1.94E-010
17	5.71E-004	3.81E-006	3.47E-008	3.76E-010	3.05E-012
33	1.43E-004	4.77E-007	2.17E-009	1.17E-011	7.36E-013
65	3.57E-005	5.96E-008	1.35E-010	2.30E-012	2.26E-012
129	8.93E-006	7.45E-009	8.86E-012	9.10E-012	9.10E-012
257	2.23E-006	9.31E-010	1.05E-011	3.64E-011	4.31E-011
513	5.58E-007	1.18E-010	1.24E-011	1.45E-010	1.75E-010
1025	1.39E-007	8.11E-011	1.66E-010	5.80E-010	5.84E-010
2049	3.49E-008	3.18E-010	6.66E-010	2.32E-009	2.72E-009
4097	8.71E-009	1.27E-009	2.66E-009	9.27E-009	9.31E-009
8193	2.17E-009	2.97E-009	1.06E-008	3.71E-008	3.72E-008
16385	5.26E-010	2.04E-008	4.25E-008	7.48E-008	1.74E-007
32769	2.11E-010	8.12E-008	1.71E-007	5.93E-007	5.95E-007
65537	3.27E-010	3.25E-007	6.82E-007	2.37E-006	2.38E-006
131073	2.86E-010	1.30E-006	2.73E-006	4.77E-006	9.51E-006
262145	8.45E-009	5.21E-006	1.09E-005	3.80E-005	3.80E-005
524289	2.21E-007	2.11E-005	4.33E-005	1.52E-004	1.52E-004
1048577	5.01E-007	8.39E-005	1.74E-004	3.03E-004	6.08E-004
2097153	6.92E-007	3.34E-004	6.97E-004	2.44E-003	2.43E-003
4194305	7.61E-007	1.34E-003	8.05E-004	9.84E-003	9.63E-003
