node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	2.55E+001	2.26E+01	3.67E+00	1.55E+00	1.64E-01	0
5	2.04E+001	5.13E+00	7.50E-01	8.77E-02	7.22E-03	0
9	1.07E+001	1.31E+00	9.67E-02	5.54E-03	2.33E-04	0
17	5.40E+000	3.28E-01	1.22E-02	3.47E-04	7.35E-06	0
33	2.71E+000	8.22E-02	1.52E-03	2.17E-05	2.30E-07	0
65	1.35E+000	2.06E-02	1.91E-04	1.36E-06	7.19E-09	0
129	6.77E-001	5.14E-03	2.38E-05	8.48E-08	2.25E-10	0
257	3.39E-001	1.28E-03	2.98E-06	5.30E-09	9.00E-12	0
513	1.69E-001	3.21E-04	3.72E-07	3.30E-10	9.53E-12	0
1025	8.46E-002	8.03E-05	4.66E-08	2.02E-11	1.93E-11	0
2049	4.23E-002	2.01E-05	5.82E-09	1.98E-11	3.83E-11	0
4097	2.12E-002	5.02E-06	7.28E-10	3.93E-11	7.74E-11	0
8193	1.06E-002	1.25E-06	1.12E-10	7.98E-11	1.61E-10	0
16385	5.29E-003	3.14E-07	1.33E-10	1.57E-10	3.07E-010	0
32769	2.64E-003	7.84E-08	3.65E-10	3.13E-10	6.39E-10	0
65537	1.32E-003	1.96E-08	8.82E-10	6.38E-10	1.34E-09	0
131073	6.61E-004	4.91E-09	2.39E-09	1.33E-09	3.04E-09	0
262145	3.31E-004	1.38E-09	6.85E-09	3.07E-09	8.19E-09	0
524289	1.65E-004	1.34E-09	0.00E+00	0.00E+00	1.82E-08	0
1048577	8.26E-005	2.60E-09	0.00E+00	0.00E+00	4.04E-08	0
2097153	4.13E-05	5.25E-09	0	0	0	0
4194305	2.07E-05	1.04E-08	0	0	0	0
8388609	1.03E-05	2.15E-08	0	0	0	0
16777217	5.17E-06	0	0	0	0	0
33554433	2.58E-06	0	0	0	0	0
67108865	1.29E-06	0	0	0	0	0
