node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	1.68E+000	1.50E+00	1.23E-01	3.87E-02	3.00E-03	0.00E+000
5	1.45E+000	1.54E-01	1.30E-02	1.05E-03	6.49E-05	0.00E+000
9	3.80E-001	1.93E-02	8.32E-04	3.30E-05	1.05E-06	0.00E+000
17	9.60E-002	2.41E-03	5.22E-05	1.03E-06	1.64E-08	0.00E+000
33	2.41E-002	3.01E-04	3.27E-06	3.22E-08	2.57E-10	0.00E+000
65	6.02E-003	3.76E-05	2.04E-07	1.01E-09	4.02E-12	0.00E+000
129	1.50E-003	4.70E-06	1.28E-08	3.15E-11	6.23E-14	0.00E+000
257	3.76E-004	5.88E-07	7.98E-10	9.84E-13	1.65E-14	0.00E+000
513	9.40E-005	7.35E-08	4.99E-11	3.34E-14	4.54E-14	0.00E+000
1025	2.35E-005	9.19E-09	3.12E-12	4.09E-14	4.34E-14	0.00E+000
2049	5.88E-006	1.15E-09	2.48E-13	5.04E-14	9.68E-14	0.00E+000
4097	1.47E-006	1.44E-10	2.90E-13	8.14E-14	1.73E-13	0.00E+000
8193	3.67E-007	1.79E-11	6.06E-13	1.82E-013	4.11E-13	0.00E+000
16385	9.18E-008	2.24E-12	1.22E-12	4.32E-13	8.15E-013	0.00E+000
32769	2.30E-008	2.81E-13	2.37E-12	8.15E-13	1.75E-12	0.00E+000
65537	5.74E-009	4.63E-14	4.80E-12	1.57E-12	3.56E-12	0.00E+000
131073	1.43E-009	6.37E-14	9.52E-12	3.38E-12	6.77E-12	0.00E+000
262145	3.59E-010	8.51E-14	1.92E-11	6.56E-12	1.38E-11	0.00E+000
524289	8.96E-011	7.69E-14	0.00E+00	0.00E+00	2.71E-11	0.00E+000
1048577	2.24E-011	1.47E-13	0.00E+00	0.00E+00	5.42E-11	0.00E+000
2097153	5.59E-12	1.62E-13	0	0	0	0
4194305	1.48E-12	2.22E-13	0	0	0	0
8388609	6.46E-13	5.12E-13	0	0	0	0
16777217	3.24E-13	0	0	0	0	0
33554433	6.96E-13	0	0	0	0	0
67108865	7.70E-13	0	0	0	0	0
