node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	4.48E-001	3.83E-01	2.58E-02	2.51E-02	5.76E-04	5.69E-04
5	3.55E-001	7.88E-02	1.17E-02	1.24E-03	1.05E-04	6.80E-06
9	1.78E-001	2.04E-02	1.50E-03	7.96E-05	3.36E-06	1.08E-07
17	8.88E-002	5.13E-03	1.89E-04	5.01E-06	1.06E-07	1.70E-09
33	4.43E-002	1.28E-03	2.37E-05	3.13E-07	3.31E-09	2.65E-11
65	2.22E-002	3.21E-04	2.97E-06	1.96E-08	1.03E-10	4.15E-13
129	1.11E-002	8.04E-05	3.71E-07	1.22E-09	3.23E-12	6.42E-15
257	5.54E-003	2.01E-05	4.64E-08	7.65E-11	1.01E-13	3.35E-15
513	2.77E-003	5.02E-06	5.80E-09	4.78E-12	5.65E-15	5.15E-15
1025	1.38E-003	1.26E-06	7.24E-10	2.99E-13	6.82E-16	1.16E-14
2049	6.92E-004	3.14E-07	9.06E-11	1.85E-14	1.41E-15	2.20E-14
4097	3.46E-004	7.85E-08	1.13E-11	2.65E-15	4.36E-15	4.49E-14
8193	1.73E-004	1.96E-08	1.41E-12	3.87E-15	8.98E-15	9.34E-14
16385	8.65E-005	4.90E-09	1.77E-13	1.72E-14	1.79E-014	1.83E-13
32769	4.33E-005	1.23E-09	4.28E-14	1.71E-14	4.82E-14	3.55E-13
65537	2.16E-005	3.07E-10	8.07E-14	2.59E-14	1.27E-13	7.05E-13
131073	1.08E-005	7.66E-11	1.58E-13	1.04E-13	1.69E-13	1.44E-12
262145	5.41E-006	1.92E-11	2.99E-13	1.56E-13	4.04E-13	2.88E-12
524289	2.70E-006	4.79E-12	0.00E+00	0.00E+00	7.01E-13	5.74E-12
1048577	1.35E-006	1.20E-12	0.00E+00	0.00E+00	1.37E-12	1.15E-11
2097153	6.76E-07	3.14E-13	0	0	0	0
4194305	3.38E-07	8.22E-14	0	0	0	0
8388609	1.69E-07	8.41E-14	0	0	0	0
16777217	8.45E-08	0	0	0	0	0
33554433	4.23E-08	0	0	0	0	0
67108865	2.11E-08	0	0	0	0	0
