node number	P1	P2	P3	P4	P5
3	0.00E+000	1.39E+01	1.39E+01	3.02E-01	3.03E-001
5	0.00E+000	1.22E+01	2.73E+00	2.19E-01	1.41E-002
9	0.00E+000	6.27E+00	6.98E-01	2.78E-02	8.90E-004
17	0.00E+000	3.16E+00	1.75E-01	3.48E-03	5.57E-005
33	0.00E+000	1.58E+00	4.39E-02	4.36E-04	3.48E-006
65	0.00E+000	7.91E-01	1.10E-02	5.45E-05	2.18E-007
129	0.00E+000	3.96E-01	2.75E-03	6.81E-06	1.36E-008
257	0.00E+000	1.98E-01	6.87E-04	8.51E-07	1.10E-009
513	0.00E+000	9.89E-02	1.72E-04	1.06E-07	3.48E-009
1025	0.00E+000	4.94E-02	4.29E-05	1.63E-08	1.27E-008
2049	0.00E+000	2.47E-02	1.07E-05	3.63E-08	5.15E-008
4097	0.00E+000	1.24E-02	2.66E-06	1.49E-07	2.13E-007
8193	0.00E+000	6.18E-03	6.29E-07	6.17E-07	8.26E-007
16385	0.00E+000	3.09E-03	9.16E-07	2.45E-06	3.28E-006
32769	0.00E+000	1.55E-03	3.68E-06	9.79E-06	1.36E-005
65537	0.00E+000	7.73E-04	1.53E-05	3.90E-05	5.43E-005
131073	0.00E+000	3.87E-04	5.94E-05	1.50E-04	2.17E-004
262145	0.00E+000	2.02E-04	2.38E-04	6.26E-04	8.68E-004
524289	0.00E+000	2.42E-04	9.80E-04	2.50E-03	3.48E-003
1048577	0.00E+000	9.30E-04	3.81E-03	1.00E-02	1.39E-002
2097153	0.00E+000	4.04E-03	1.57E-02	0.00E+00	5.58E-002
4194305	0.00E+000	1.66E-02	6.34E-02	0.00E+00	2.25E-001
