node number	P1	P2	P3	P4	P5
3	4.40E+00	5.52E-01	5.36E-01	1.77E-02	1.75E-002
5	1.94E+00	3.95E-01	5.27E-02	5.24E-03	4.15E-004
9	9.97E-01	1.01E-01	6.73E-03	3.33E-04	1.32E-005
17	5.02E-01	2.55E-02	8.46E-04	2.09E-05	4.13E-007
33	2.52E-01	6.38E-03	1.06E-04	1.31E-06	1.29E-008
65	1.26E-01	1.60E-03	1.32E-05	8.19E-08	4.04E-010
129	6.30E-02	3.99E-04	1.66E-06	5.12E-09	2.08E-011
257	3.15E-02	9.97E-05	2.07E-07	3.23E-10	6.40E-011
513	1.57E-02	2.49E-05	2.59E-08	1.37E-10	2.73E-010
1025	7.87E-03	6.23E-06	3.25E-09	4.87E-10	1.14E-009
2049	3.93E-03	1.56E-06	1.62E-09	2.72E-09	4.79E-009
4097	1.97E-03	3.90E-07	6.60E-09	1.07E-08	1.76E-008
8193	9.84E-04	9.75E-08	2.40E-08	3.61E-08	7.02E-008
16385	4.92E-04	2.99E-08	9.83E-08	1.44E-07	2.73E-007
32769	2.46E-04	4.03E-08	3.87E-07	6.38E-07	1.11E-006
65537	1.23E-04	8.34E-08	1.45E-06	2.47E-06	4.48E-006
131073	6.15E-05	4.66E-07	5.93E-06	1.01E-05	1.78E-005
262145	3.07E-05	4.51E-06	2.22E-05	4.16E-05	7.19E-005
524289	1.54E-05	1.50E-05	1.00E-04	1.57E-04	2.84E-004
1048577	7.69E-06	4.91E-05	3.95E-04	6.34E-04	1.21E-003
2097153	6.22E-05	1.34E-04	1.59E-03	0.00E+00	5.52E-003
4194305	2.48E-04	9.61E-04	6.95E-03	0.00E+00	1.56E-002
