node number	P1	P2	P3	P4	P5
3	7.75E-01	3.82E-02	3.98E-02	6.11E-04	6.06E-004
5	1.51E-01	1.27E-02	1.94E-03	6.92E-05	7.17E-006
9	3.95E-02	1.63E-03	1.24E-04	2.17E-06	1.14E-007
17	1.00E-02	2.06E-04	7.82E-06	6.81E-08	1.79E-009
33	2.51E-03	2.57E-05	4.89E-07	2.13E-09	2.79E-011
65	6.28E-04	3.22E-06	3.06E-08	6.65E-11	2.90E-012
129	1.57E-04	4.02E-07	1.91E-09	3.78E-12	9.58E-012
257	3.92E-05	5.03E-08	1.20E-10	2.54E-11	3.59E-011
513	9.81E-06	6.29E-09	5.49E-11	8.46E-11	1.61E-010
1025	2.45E-06	7.91E-10	2.05E-10	3.00E-10	6.80E-010
2049	6.13E-07	2.41E-10	9.42E-10	1.68E-09	2.87E-009
4097	1.53E-07	1.16E-09	4.06E-09	6.67E-09	1.05E-008
8193	3.83E-08	4.30E-09	1.45E-08	2.24E-08	4.18E-008
16385	9.59E-09	1.09E-08	5.84E-08	8.81E-08	1.61E-007
32769	2.38E-09	5.77E-08	2.27E-07	3.97E-07	6.60E-007
65537	1.27E-09	2.54E-07	8.53E-07	1.53E-06	2.66E-006
131073	2.33E-09	1.01E-06	3.50E-06	6.26E-06	1.06E-005
262145	8.25E-09	4.52E-06	1.31E-05	2.58E-05	4.27E-005
524289	3.12E-09	1.78E-05	5.98E-05	9.71E-05	1.68E-004
1048577	3.90E-08	6.92E-05	2.37E-04	3.94E-04	7.25E-004
2097153	3.90E-05	2.31E-04	9.37E-04	0.00E+00	3.36E-003
4194305	1.55E-04	1.25E-03	4.20E-03	0.00E+00	9.24E-003
