Strong	eta=1e6	eta=50
3.77E-001	3.77E-001	3.77E-001
1.94E-001	1.94E-001	1.94E-001
9.78E-002	9.78E-002	9.80E-002
4.90E-002	4.90E-002	4.93E-002
2.45E-002	2.45E-002	2.91E-002
1.22E-002	1.22E-002	1.25E-002
6.12E-003	6.12E-003	6.15E-003
3.06E-003	3.06E-003	3.07E-003
1.53E-003	1.53E-003	1.53E-003
7.66E-004	7.66E-004	7.66E-004
3.83E-004	3.83E-004	3.83E-004
1.91E-004	1.91E-004	1.91E-004
9.57E-005	9.57E-005	9.57E-005
4.79E-005	4.79E-005	4.79E-005
2.40E-005	2.40E-005	2.40E-005
1.36E-005	1.36E-005	1.36E-005
2.62E-005	2.55E-005	2.63E-005
1.02E-004	1.02E-004	1.02E-004
4.09E-004	4.09E-004	4.09E-004
1.64E-003	1.64E-003	1.64E-003
6.55E-003	0.00E+000	6.55E-003
2.62E-002	0.00E+000	2.63E-002
