Strong	eta=1e6	eta=50
2.43E-002	2.43E-002	2.44E-002
6.26E-003	6.26E-003	6.30E-003
1.58E-003	1.58E-003	1.60E-003
3.95E-004	3.95E-004	4.15E-004
9.88E-005	9.88E-005	1.91E-004
2.47E-005	2.47E-005	2.76E-005
6.18E-006	6.18E-006	6.34E-006
1.54E-006	1.54E-006	1.56E-006
3.86E-007	3.86E-007	3.88E-007
9.65E-008	9.65E-008	9.68E-008
2.42E-008	2.42E-008	2.42E-008
7.24E-009	7.24E-009	7.24E-009
9.49E-009	1.61E-008	1.61E-008
6.43E-008	6.43E-008	6.43E-008
2.56E-007	2.56E-007	2.56E-007
1.02E-006	1.02E-006	1.02E-006
4.10E-006	2.43E-006	4.10E-006
1.64E-005	1.64E-005	1.64E-005
6.65E-005	6.65E-005	6.65E-005
2.65E-004	2.65E-004	2.65E-004
1.06E-003	0.00E+000	1.06E-003
4.22E-003	0.00E+000	4.22E-003
