Strong	eta=1e6	eta=50
1.88E-003	1.88E-003	1.92E-003
2.41E-004	2.41E-004	2.81E-004
3.04E-005	3.04E-005	5.21E-005
3.81E-006	3.81E-006	1.52E-005
4.77E-007	4.77E-007	1.60E-005
5.96E-008	5.96E-008	9.96E-007
7.45E-009	7.45E-009	8.61E-008
9.31E-010	9.31E-010	9.96E-009
1.18E-010	1.18E-010	1.20E-009
8.11E-011	8.11E-011	8.66E-011
3.18E-010	3.18E-010	3.01E-010
1.27E-009	1.27E-009	1.27E-009
2.97E-009	5.08E-009	5.08E-009
2.04E-008	2.04E-008	2.04E-008
8.12E-008	8.12E-008	8.12E-008
3.25E-007	3.25E-007	3.25E-007
1.30E-006	7.71E-007	1.30E-006
5.21E-006	5.21E-006	5.21E-006
2.11E-005	2.11E-005	2.11E-005
8.39E-005	8.39E-005	8.39E-005
3.34E-004	0.00E+000	3.34E-004
1.34E-003	0.00E+000	1.34E-003
