||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.04E-012	1.39E-009
9.48E-012	5.08E-014	8.71E-011
5.93E-013	7.84E-014	5.45E-012
3.70E-014	1.59E-013	5.59E-013
2.59E-015	3.14E-013	9.02E-013
1.28E-015	6.35E-013	1.80E-012
2.26E-015	1.26E-012	3.58E-012
2.89E-015	2.53E-012	7.15E-012
4.99E-015	5.05E-012	1.44E-011
1.09E-14	1.01E-11	2.88E-11
1.45E-14	2.02E-11	5.73E-11
2.08E-14	4.06E-11	1.15E-10
8.15E-14	8.11E-11	2.29E-10
1.18E-13	1.62E-10	4.58E-10
2.36E-13	3.24E-10	9.20E-10
