||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.03E-012	1.39E-009
9.48E-012	3.31E-014	8.71E-011
5.88E-013	1.27E-014	5.45E-012
7.88E-014	2.64E-014	5.60E-013
1.48E-013	5.39E-014	9.09E-013
3.02E-013	1.09E-013	1.81E-012
6.12E-013	2.16E-013	3.59E-012
1.25E-012	4.23E-013	7.13E-012
2.46E-012	8.66E-013	1.44E-011
4.91E-12	1.74E-12	2.87E-11
9.86E-12	3.44E-12	5.76E-11
1.97E-11	6.87E-12	1.15E-10
3.95E-11	1.38E-11	2.30E-10
7.90E-11	2.76E-11	4.58E-10
1.58E-10	5.52E-11	9.19E-10
