||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.04E-012	1.40E-009
9.48E-012	3.15E-013	4.88E-010
5.93E-013	8.43E-013	2.79E-009
3.76E-014	2.05E-012	1.28E-008
9.81E-015	6.19E-012	7.97E-008
2.34E-014	1.69E-011	4.40E-007
9.41E-015	4.76E-011	2.42E-006
2.07E-014	1.33E-010	1.36E-005
4.20E-014	3.70E-010	7.64E-005
2.40E-14	1.05E-09	4.35E-04
7.91E-14	2.95E-09	2.43E-03
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
