||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.38E-004	3.28E-003	8.45E-002
8.83E-006	4.18E-004	2.16E-002
5.54E-007	5.25E-005	5.44E-003
3.47E-008	6.56E-006	1.36E-003
2.17E-009	8.20E-007	3.40E-004
1.35E-010	1.03E-007	8.51E-005
8.86E-012	1.28E-008	2.13E-005
1.05E-011	1.60E-009	5.32E-006
1.24E-011	2.04E-010	1.33E-006
1.66E-010	5.25E-010	3.33E-007
6.66E-010	2.10E-009	8.67E-008
2.66E-009	8.40E-009	6.16E-008
1.06E-008	3.36E-008	2.16E-007
4.25E-008	1.34E-007	8.56E-007
1.71E-007	5.38E-007	3.43E-006
6.82E-007	2.15E-006	1.37E-005
