||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.72E-004	3.27E-003	8.45E-002
1.10E-005	4.18E-004	2.16E-002
6.91E-007	5.24E-005	5.44E-003
4.32E-008	6.56E-006	1.36E-003
2.70E-009	8.20E-007	3.40E-004
1.70E-010	1.03E-007	8.51E-005
3.97E-011	2.26E-008	2.38E-005
1.85E-011	1.37E-008	1.82E-005
5.59E-011	1.04E-008	2.21E-005
2.23E-010	1.38E-008	4.93E-005
8.96E-010	1.23E-008	6.90E-005
3.57E-009	1.51E-008	9.78E-005
1.43E-008	4.57E-008	1.45E-004
5.72E-008	1.81E-007	1.98E-004
2.29E-007	7.22E-007	2.90E-004
0.00E+000	0.00E+000	0.00E+000
