||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.87E-003	2.43E-002	3.77E-001
2.41E-004	6.26E-003	1.94E-001
3.04E-005	1.58E-003	9.78E-002
3.81E-006	3.95E-004	4.90E-002
4.77E-007	9.88E-005	2.45E-002
5.96E-008	2.47E-005	1.22E-002
7.87E-009	6.35E-006	6.16E-003
1.12E-009	1.67E-006	3.10E-003
9.19E-010	1.54E-006	2.57E-003
3.00E-010	6.89E-007	1.65E-003
3.24E-010	8.92E-007	3.66E-003
8.36E-010	7.60E-007	4.36E-003
3.33E-009	7.14E-007	8.20E-003
1.31E-008	5.78E-007	1.04E-002
5.26E-008	5.94E-007	1.79E-002
2.11E-007	8.02E-007	2.41E-002
8.51E-007	2.71E-006	3.42E-002
3.38E-006	1.07E-005	5.10E-002
1.36E-05	4.29E-05	7.86E-02
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
