||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.53E-009	4.01E-007
2.43E-009	1.05E-009	3.19E-007
1.55E-010	1.48E-009	1.02E-006
2.81E-011	2.02E-009	2.44E-006
2.46E-011	2.83E-009	6.89E-006
2.45E-011	3.99E-009	1.94E-005
2.50E-011	5.65E-009	5.47E-005
2.58E-011	7.98E-009	1.55E-004
2.27E-011	1.13E-008	4.39E-004
2.35E-011	1.60E-008	1.24E-003
2.25E-011	2.26E-008	3.51E-003
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
