||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	2.77E-009	6.57E-007
2.43E-009	1.03E-009	4.07E-007
1.52E-010	4.74E-009	3.52E-006
1.00E-011	2.79E-009	3.92E-006
3.96E-012	5.62E-009	1.61E-005
1.77E-012	8.53E-009	5.35E-005
3.06E-012	1.74E-008	1.86E-004
3.00E-012	2.66E-008	5.37E-004
2.50E-012	4.28E-008	1.93E-003
7.85E-012	1.40E-007	6.32E-003
4.43E-012	1.44E-007	1.47E-002
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
