P4P3_DOFS	P4P3_UMF	P4P3_schur_1e-16	P4P3_schur_1e-10	P4P3_schur_1e-4	P4P3_schur_1e-2
9	1.32E-003	1.31E-003	1.31E-003	0	0
17	8.99E-005	8.97E-005	8.97E-005	0	0
33	5.69E-006	5.69E-006	5.69E-006	0	0
65	3.57E-007	3.57E-007	3.57E-007	0	0
129	2.23E-008	2.23E-008	1.07E-006	0	0
257	1.39E-009	1.40E-009	3.02E-006	0	0
513	8.71E-011	2.15E-010	8.55E-006	0	0
1025	5.45E-012	7.10E-010	2.42E-005	0	0
2049	5.13E-013	2.83E-009	6.84E-005	0	0
4097	7.16E-013	1.05E-008	1.93E-004	0	0
8193	1.48E-012	4.28E-008	5.47E-004	0	0
16385	2.92E-012	1.71E-007	1.55E-003	0	0
32769	5.89E-012	6.93E-007	4.38E-003	0	0
65537	1.17E-011	2.78E-006	0	0	0
131073	2.35E-11	0	0	0	0
262145	4.70E-11	0	0	0	0
524289	9.43E-11	0	0	0	0
1048577	1.88E-10	0	0	0	0
2097153	3.77E-10	0	0	0	0
4194305	7.53E-10	0	0	0	0
