P4P3_DOFS	P4P3_UMF	P4P3_schur_1e-16	P4P3_schur_1e-10	P4P3_schur_1e-4	P4P3_schur_1e-2
9	3.15E-005	3.12E-005	3.12E-005	0	0
17	1.07E-006	1.07E-006	1.07E-006	0	0
33	3.38E-008	3.38E-008	3.38E-008	0	0
65	1.06E-009	1.06E-009	1.06E-009	0	0
129	3.31E-011	3.31E-011	2.09E-009	0	0
257	1.03E-012	1.04E-012	2.95E-009	0	0
513	3.26E-014	1.37E-013	4.17E-009	0	0
1025	7.34E-015	2.42E-013	5.90E-009	0	0
2049	1.13E-014	4.80E-013	8.35E-009	0	0
4097	2.84E-014	9.03E-013	1.18E-008	0	0
8193	3.89E-014	1.84E-012	1.67E-008	0	0
16385	8.90E-014	3.63E-012	2.36E-008	0	0
32769	1.54E-013	7.34E-012	3.34E-008	0	0
65537	3.39E-013	1.48E-011	0	0	0
131073	6.70E-13	0	0	0	0
262145	1.35E-12	0	0	0	0
524289	2.68E-12	0	0	0	0
1048577	5.30E-12	0	0	0	0
2097153	1.06E-11	0	0	0	0
4194305	2.14E-11	0	0	0	0
