P4P3_DOFS	P4P3_UMF	P4P3_schur_1e-16	P4P3_schur_1e-10	P4P3_schur_1e-4	P4P3_schur_1e-2
8	1.54E-004	1.54E-004	1.54E-004	0	0
16	9.88E-006	9.89E-006	9.89E-006	0	0
32	6.21E-007	6.21E-007	6.21E-007	0	0
64	3.88E-008	3.88E-008	3.88E-008	0	0
128	2.43E-009	2.43E-009	2.43E-009	0	0
256	1.52E-010	1.52E-010	1.52E-010	0	0
512	9.48E-012	9.48E-012	9.88E-012	0	0
1024	5.93E-013	5.93E-013	2.04E-012	0	0
2048	3.72E-014	3.75E-014	1.38E-012	0	0
4096	2.58E-015	2.47E-015	9.76E-013	0	0
8192	2.83E-015	1.87E-015	6.90E-013	0	0
16384	2.50E-015	4.35E-015	4.88E-013	0	0
32768	4.67E-015	4.77E-015	3.45E-013	0	0
65536	4.48E-015	7.06E-015	0	0	0
131072	1.28E-14	0	0	0	0
262144	2.04E-14	0	0	0	0
524288	3.05E-14	0	0	0	0
1048576	6.02E-14	0	0	0	0
2097152	1.33E-13	0	0	0	0
4194304	2.40E-13	0	0	0	0
