DOFS	UMF	other_1e-16	other_1e-10	other_UMF
9	1.32E-003	1.31E-003	1.31E-003	1.31E-003
17	8.99E-005	8.97E-005	8.97E-005	8.97E-005
33	5.69E-006	5.69E-006	5.69E-006	5.69E-006
65	3.57E-007	3.57E-007	3.57E-007	3.57E-007
129	2.23E-008	2.23E-008	2.86E-007	2.23E-008
257	1.39E-009	1.40E-009	1.03E-006	1.40E-009
513	8.71E-011	2.15E-010	2.95E-006	2.01E-010
1025	5.45E-012	7.10E-010	8.24E-006	6.75E-010
2049	5.13E-013	2.83E-009	2.30E-005	2.75E-009
4097	7.16E-013	1.05E-008	6.45E-005	1.04E-008
8193	1.48E-012	4.28E-008	1.82E-004	4.21E-008
16385	2.92E-012	1.71E-007	5.13E-004	1.73E-007
32769	5.89E-012	6.93E-007	1.45E-003	6.94E-007
65537	1.17E-011	2.78E-006	4.10E-003	2.80E-006
131073	2.35E-11	0	0	0
262145	4.70E-11	0	0	0
524289	9.43E-11	0	0	0
1048577	1.88E-10	0	0	0
2097153	3.77E-10	0	0	0
4194305	7.53E-10	0	0	0
