DOFS	UMF	other_1e-16	other_1e-10	other_UMF
9	3.15E-005	3.12E-005	3.12E-005	3.12E-005
17	1.07E-006	1.07E-006	1.07E-006	1.07E-006
33	3.38E-008	3.38E-008	3.38E-008	3.38E-008
65	1.06E-009	1.06E-009	1.06E-009	1.06E-009
129	3.31E-011	3.31E-011	1.36E-009	3.31E-011
257	1.03E-012	1.04E-012	2.13E-009	1.04E-012
513	3.26E-014	1.37E-013	3.03E-009	1.29E-013
1025	7.34E-015	2.42E-013	4.26E-009	2.35E-013
2049	1.13E-014	4.80E-013	5.99E-009	4.69E-013
4097	2.84E-014	9.03E-013	8.45E-009	9.11E-013
8193	3.89E-014	1.84E-012	1.19E-008	1.81E-012
16385	8.90E-014	3.63E-012	1.69E-008	3.67E-012
32769	1.54E-013	7.34E-012	2.38E-008	7.37E-012
65537	3.39E-013	1.48E-011	3.36E-008	1.49E-011
131073	6.70E-13	0	0	0
262145	1.35E-12	0	0	0
524289	2.68E-12	0	0	0
1048577	5.30E-12	0	0	0
2097153	1.06E-11	0	0	0
4194305	2.14E-11	0	0	0
