DOFS	UMF	other_1e-16	other_1e-10	other_UMF
8	1.54E-004	1.54E-004	1.54E-004	1.54E-004
16	9.88E-006	9.89E-006	9.89E-006	9.89E-006
32	6.21E-007	6.21E-007	6.21E-007	6.21E-007
64	3.88E-008	3.88E-008	3.88E-008	3.88E-008
128	2.43E-009	2.43E-009	2.41E-009	2.43E-009
256	1.52E-010	1.52E-010	1.75E-010	1.52E-010
512	9.48E-012	9.48E-012	1.34E-010	9.48E-012
1024	5.93E-013	5.93E-013	1.49E-010	5.93E-013
2048	3.72E-014	3.75E-014	1.58E-010	3.72E-014
4096	2.58E-015	2.47E-015	1.64E-010	2.87E-015
8192	2.83E-015	1.87E-015	1.66E-010	1.21E-015
16384	2.50E-015	4.35E-015	1.68E-010	1.46E-015
32768	4.67E-015	4.77E-015	1.68E-010	3.98E-015
65536	4.48E-015	7.06E-015	1.66E-010	4.28E-015
131072	1.28E-14	0	0.00E+000	0
262144	2.04E-14	0	0	0
524288	3.05E-14	0	0	0
1048576	6.02E-14	0	0	0
2097152	1.33E-13	0	0	0
4194304	2.40E-13	0	0	0
