||u||_2	||\nabla u||_2	u	\nabla u	\Delta u
4.5E-01	1.2E+00	2.00E-017	1.00E-016	2.00E-016
4.4E-01	1.2E+00	2.00E-017	1.00E-016	2.00E-016
7.3E-01	1.2E+00	2.00E-017	1.00E-016	2.00E-016
1.0E+02	1.2E+00	2.00E-015	1.00E-014	2.00E-014
1.0E+04	1.2E+00	2.00E-013	1.00E-012	2.00E-012
1.0E+04	2.0E+02	2.00E-013	1.00E-012	5.00E-012
9.3E-01	5.0E-01	1.00E-017	1.00E-016	5.00E-016
1.12E+003	5.77E+003	1.00E-014	1.00E-013	5.00E-013
1.12E+001	5.77E+001	1.00E-016	1.00E-015	5.00E-015
1.12E-001	5.77E-001	1.00E-018	1.00E-017	5.00E-017
1.12E-003	5.77E-003	1.00E-020	1.00E-019	5.00E-019
1.12E-005	5.77E-005	1.00E-022	1.00E-021	5.00E-021
1.08E+000	5.77E-001	1.00E-017	1.00E-016	5.00E-016
1.12E-001	5.77E-001	1.00E-018	1.00E-017	5.00E-017
