||u||_2	||\nabla u||_2	u	\nabla u	\Delta u
4.5E-01	1.2E+00	2.00E-017	2.00E-016	2.00E-016
4.4E-01	1.2E+00	2.00E-017	2.00E-016	2.00E-016
7.3E-01	1.2E+00	4.00E-017	2.00E-016	2.00E-016
1.0E+02	1.2E+00	5.00E-015	3.00E-014	4.00E-014
1.0E+04	1.2E+00	5.00E-013	3.00E-012	4.00E-012
1.0E+04	2.0E+02	4.00E-13	2.00E-12	5.00E-12
9.3E-01	5.0E-01	1.00E-16	1.00E-15	1.00E-14
1.12E+003	5.77E+003	2.00E-014	4.00E-013	5.00E-013
1.12E+001	5.77E+001	2.00E-016	4.00E-015	5.00E-015
1.12E-001	5.77E-001	2.00E-018	4.00E-017	5.00E-017
1.12E-003	5.77E-003	2.00E-020	4.00E-019	5.00E-019
1.12E-005	5.77E-005	2.00E-022	4.00E-021	5.00E-021
