l2_error	h1_semi_error	h2_semi_error
3.13E-16	1.01E-15	3.03E-15
8.91E-16	3.15E-15	2.31E-14
3.57E-15	1.28E-14	1.23E-13
1.49E-14	5.28E-14	5.24E-13
6.04E-14	2.16E-13	1.84E-12
2.42E-13	8.68E-13	8.02E-12
9.70E-13	3.47E-12	3.23E-11
3.88E-12	1.39E-11	1.33E-10
1.55E-11	5.56E-11	5.23E-10
6.20E-11	2.22E-10	2.14E-09
2.48E-10	8.89E-10	8.42E-09
9.92E-10	3.56E-09	3.42E-08
3.97E-09	1.42E-08	1.35E-07
1.59E-08	5.69E-08	5.49E-07
6.35E-08	2.28E-07	2.16E-06
2.54E-07	9.10E-07	8.75E-06
1.02E-06	3.64E-06	3.46E-05
4.06E-06	1.46E-05	1.40E-04
1.62E-05	5.83E-05	5.54E-04
6.51E-05	2.33E-04	2.24E-03
2.61E-04	9.36E-04	8.88E-03
