l2_error	h1_semi_error	h2_semi_error
1.17E-16	2.44E-16	7.02E-16
1.11E-16	2.32E-16	1.79E-15
2.20E-16	7.92E-16	1.10E-14
2.10E-16	1.53E-15	4.49E-14
1.97E-16	2.72E-15	1.90E-13
1.18E-15	6.74E-15	7.35E-13
1.52E-14	6.09E-14	3.08E-12
2.89E-14	1.72E-13	1.22E-11
1.36E-13	6.18E-13	5.04E-11
8.89E-13	3.36E-12	1.92E-10
2.76E-12	1.03E-11	7.76E-10
1.40E-11	5.68E-11	3.01E-09
3.19E-11	1.26E-10	1.23E-08
1.31E-10	5.10E-10	4.85E-08
5.09E-10	2.04E-09	1.92E-07
2.06E-09	8.56E-09	7.83E-07
3.53E-09	1.28E-08	3.11E-06
1.96E-08	7.81E-08	1.28E-05
2.97E-08	2.01E-07	4.95E-05
8.28E-07	3.13E-06	2.01E-04
2.49E-06	9.53E-06	8.12E-04
6.91E-06	2.56E-05	3.23E-03
