deg = 1	deg = 2	deg = 3	deg = 4	deg = 5
1	1	3.379796	9.32132	29.216336
5.828427	2.783608	3.512058	9.297586	32.625978
25.274142	10.04748	10.864714	13.0533	27.542052
103.086869	39.23025	41.423292	48.59759	57.185619
414.345062	155.978448	163.977204	191.433759	223.907442
1659.379646	622.836509	654.036961	763.443199	891.953534
6639.518435	2490.390495	2616.468314	3053.518223	3563.74579
26560.0737	9960.593354	10367.41778	12369.26446	14225.43343
106242.2948	41121.37964	42584.9372	48232.35457	56858.4101
424971.1792	159364.6063	161631.9536	182857.1317	240520.7778
1699886.717	637458.3988	2272932.943	614684.4171	785829.6374
6799548.868	730595.8535	1110446.861	35234706.65	5340962.931
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
